task_id;goal_offset;config_note;eval_budget;high_horizon;low_horizon;high_receding_horizon;low_receding_horizon;high_replan_interval;high_action_block;low_action_block;high_num_samples;high_n_steps;high_topk;low_num_samples;low_n_steps;low_topk;latest_array_job_id;latest_job_id;latest_state;latest_success_rate;latest_episode_successes_count;latest_result_present;roadmap_note
1;D25;;50;1;2;1;1;5;1;5;900;20;10;300;30;150;23022024;23022024_1;COMPLETED;84.0;42;yes;
2;D25;;50;2;2;1;1;5;1;5;900;20;10;300;30;150;23022024;23022024_2;COMPLETED;18.0;9;yes;
3;D25;;50;1;3;1;1;5;1;5;900;20;10;300;30;150;23022024;23022024_3;COMPLETED;68.0;34;yes;
4;D25;;50;1;5;1;1;5;1;5;900;20;10;300;30;150;23022024;23022024_4;COMPLETED;44.0;22;yes;
5;D25;;50;1;5;1;5;5;1;5;900;20;10;300;30;150;23022024;23022024_5;COMPLETED;74.0;37;yes;
6;D25;;50;2;2;1;2;5;1;5;900;20;10;300;30;150;23029568;23029568_6;COMPLETED;24.0;12;yes;reran successfully in array 23029568 after the initial shape '[50, 25, -1]' runtime error
7;D25;hiStaged;50;2;2;1;1;5;1;5;900;20;10;300;30;150;23022024;23022024_7;COMPLETED;84.0;42;yes;
8;D50;;50;1;2;1;1;5;1;5;1500;40;10;900;30;150;23022024;23022024_8;COMPLETED;36.0;18;yes;
9;D50;;50;2;2;1;2;5;1;5;1500;40;10;900;30;150;23029568;23029568_9;COMPLETED;28.000000000000004;14;yes;reran successfully in array 23029568 after the initial shape '[50, 25, -1]' runtime error
10;D50;;50;2;2;1;1;5;1;5;1500;40;10;900;30;150;23022024;23022024_10;COMPLETED;22.0;11;yes;
11;D50;;50;2;5;1;1;5;1;5;1500;40;10;900;30;150;23022024;23022024_11;COMPLETED;20.0;10;yes;
12;D50;;50;2;5;1;5;5;1;5;1500;40;10;900;30;150;23022024;23022024_12;COMPLETED;12.0;6;yes;
13;D50;hiStaged;50;2;2;1;1;5;1;5;1500;40;10;900;30;150;23022024;23022024_13;COMPLETED;36.0;18;yes;
14;D50;;50;2;2;1;1;3;1;5;1500;40;10;900;30;150;23022024;23022024_14;COMPLETED;26.0;13;yes;
15;D50;;50;3;2;1;1;5;1;5;1500;40;10;900;30;150;23022024;23022024_15;COMPLETED;20.0;10;yes;
16;D50;;100;1;2;1;1;5;1;5;1500;40;10;900;30;150;23022024;23022024_16;COMPLETED;36.0;18;yes;
17;D50;;100;2;2;1;2;5;1;5;1500;40;10;900;30;150;23029568;23029568_17;COMPLETED;32.0;16;yes;reran successfully in array 23029568 after the initial shape '[50, 25, -1]' runtime error
18;D50;;100;2;2;1;1;5;1;5;1500;40;10;900;30;150;23022024;23022024_18;COMPLETED;34.0;17;yes;
19;D50;;100;2;5;1;1;5;1;5;1500;40;10;900;30;150;23037851;23037851_19;COMPLETED;24.0;12;yes;reran successfully in array 23037851 after the initial scheduler timeout
20;D50;;100;2;5;1;5;5;1;5;1500;40;10;900;30;150;23022024;23022024_20;COMPLETED;30.0;15;yes;
21;D50;hiStaged;100;2;2;1;1;5;1;5;1500;40;10;900;30;150;23022024;23022024_21;COMPLETED;44.0;22;yes;
22;D50;;100;2;2;1;1;3;1;5;1500;40;10;900;30;150;23022024;23022024_22;COMPLETED;40.0;20;yes;
23;D50;;100;3;2;1;1;5;1;5;1500;40;10;900;30;150;23022024;23022024_23;COMPLETED;28.000000000000004;14;yes;
24;D75;;75;1;2;1;1;5;1;5;1200;60;10;1200;30;150;23022024;23022024_24;COMPLETED;8.0;4;yes;
25;D75;;75;2;2;1;2;5;1;5;1200;60;10;1200;30;150;23029568;23029568_25;COMPLETED;14.000000000000002;7;yes;reran successfully in array 23029568 after the initial shape '[50, 25, -1]' runtime error
26;D75;;75;2;2;1;1;5;1;5;1200;60;10;1200;30;150;23022024;23022024_26;COMPLETED;8.0;4;yes;
27;D75;;75;2;5;1;1;5;1;5;1200;60;10;1200;30;150;23037851;23037851_27;COMPLETED;8.0;4;yes;reran successfully in array 23037851 after the initial scheduler timeout
28;D75;;75;2;5;1;5;5;1;5;1200;60;10;1200;30;150;23022024;23022024_28;COMPLETED;8.0;4;yes;
29;D75;hiStaged;75;2;2;1;1;5;1;5;1200;60;10;1200;30;150;23022024;23022024_29;COMPLETED;22.0;11;yes;
30;D75;;75;2;2;1;1;3;1;5;1200;60;10;1200;30;150;23022024;23022024_30;COMPLETED;16.0;8;yes;
31;D75;;75;3;2;1;1;5;1;5;1200;60;10;1200;30;150;23022024;23022024_31;COMPLETED;12.0;6;yes;
32;D75;;150;1;2;1;1;5;1;5;1200;60;10;1200;30;150;23022024;23022024_32;COMPLETED;8.0;4;yes;
33;D75;;150;2;2;1;2;5;1;5;1200;60;10;1200;30;150;23029568;23029568_33;COMPLETED;18.0;9;yes;reran successfully in array 23029568 after the initial shape '[50, 25, -1]' runtime error
34;D75;;150;2;2;1;1;5;1;5;1200;60;10;1200;30;150;23037851;23037851_34;COMPLETED;16.0;8;yes;reran successfully in array 23037851 after the initial scheduler timeout
35;D75;;150;2;5;1;1;5;1;5;1200;60;10;1200;30;150;23037851;23037851_35;COMPLETED;8.0;4;yes;reran successfully in array 23037851 after the initial scheduler timeout
36;D75;;150;2;5;1;5;5;1;5;1200;60;10;1200;30;150;23037851;23037851_36;COMPLETED;10.0;5;yes;reran successfully in array 23037851 after the initial scheduler timeout
37;D75;hiStaged;150;2;2;1;1;5;1;5;1200;60;10;1200;30;150;23022024;23022024_37;COMPLETED;28.000000000000004;14;yes;
38;D75;;150;2;2;1;1;3;1;5;1200;60;10;1200;30;150;23037851;23037851_38;COMPLETED;18.0;9;yes;reran successfully in array 23037851 after the initial scheduler timeout
39;D75;;150;3;2;1;1;5;1;5;1200;60;10;1200;30;150;23037851;23037851_39;COMPLETED;18.0;9;yes;reran successfully in array 23037851 after the initial scheduler timeout
